id;name;valid_from;valid_to
1;Forward;2019-11-19T02:24:02;2019-11-18T08:59:38
2;unleash;2019-11-18T22:05:47;2019-11-18T21:35:46
3;compress Rustic Granite Pizza Movies;2019-11-19T06:53:10;2019-11-18T17:31:01
4;Connecticut back-end groupware;2019-11-18T13:51:55;2019-11-19T00:03:13
5;Future;2019-11-19T07:51:57;2019-11-18T14:48:40
6;Venezuela Rubber;2019-11-18T11:13:07;2019-11-18T09:54:22
7;Refined Cotton Cheese modular;2019-11-18T14:51:01;2019-11-18T20:31:20
8;Engineer Metal microchip;2019-11-19T03:48:04;2019-11-18T18:49:19
9;Groves Representative;2019-11-18T17:47:07;2019-11-18T09:10:24
10;Computer Games;2019-11-18T15:06:35;2019-11-19T02:58:56
