id;name;location;latest_recorded_population;valid_from;valid_to
1;syndicate haptic;Bedfordshire;40895;2019-11-18T15:03:20;2019-11-18T13:51:52
2;Baby Credit Card Account Nevada;Persistent transparent Chips;90845;2019-11-19T00:10:09;2019-11-18T18:23:18
3;strategize;value-added Savings Account;91185;2019-11-18T18:19:13;2019-11-19T05:03:03
4;Generic Advanced;HDD Security Virginia;69665;2019-11-18T13:25:40;2019-11-18T10:14:59
5;alarm;quantify;37443;2019-11-18T17:49:43;2019-11-19T06:44:08
6;Handmade Unbranded;Chief Coves Concrete;98484;2019-11-19T04:25:01;2019-11-18T12:15:22
7;Fresh;strategy instruction set Persistent;60789;2019-11-18T22:48:49;2019-11-18T23:17:11
8;navigate;neural;463;2019-11-18T17:54:01;2019-11-19T00:23:08
9;synergize;JSON National;46570;2019-11-19T00:03:46;2019-11-18T20:50:58
10;District Idaho Grocery;Concrete Towels Avon;41892;2019-11-19T07:34:35;2019-11-18T10:26:01
