id;cold_room_sensor_number;recorded_when;temperature;valid_from;valid_to
1;91116;2019-11-19T06:53:21;35486;2019-11-18T21:22:31;2019-11-18T22:11:44
2;73273;2019-11-19T03:13:18;60673;2019-11-18T18:03:35;2019-11-18T16:14:28
3;59480;2019-11-19T06:26:32;37220;2019-11-18T09:33:16;2019-11-19T00:23:50
4;83849;2019-11-18T11:09:03;80509;2019-11-18T23:11:28;2019-11-18T12:38:18
5;49350;2019-11-18T10:00:18;28330;2019-11-18T19:19:40;2019-11-18T13:30:27
6;20028;2019-11-18T22:51:04;61678;2019-11-18T20:03:48;2019-11-18T14:33:39
7;25335;2019-11-18T14:40:48;98765;2019-11-18T19:52:31;2019-11-19T01:23:38
8;6845;2019-11-18T13:53:32;37111;2019-11-18T22:07:48;2019-11-18T10:17:30
9;20621;2019-11-18T18:21:48;79971;2019-11-18T19:28:12;2019-11-19T00:23:00
10;26885;2019-11-18T11:37:32;36844;2019-11-18T10:25:26;2019-11-18T10:54:06
