id;currency_rate_date;fromcode;tocode;average_rate;end_of_day_rate;last_edited_by;last_edited_when
1;2019-11-19T08:22:54;Kids;withdrawal Shirt;6134;56444;turquoise green Cambridgeshire;2019-11-18T14:17:16
2;2019-11-19T07:00:11;Guinea Franc Administrator;Keyboard;7462;12138;data-warehouse Intelligent Saudi Riyal;2019-11-19T06:53:41
3;2019-11-18T17:33:24;invoice Sharable;Savings Account;30625;17375;payment navigating;2019-11-18T15:00:22
4;2019-11-19T05:15:09;AI Ports pink;Iraq Buckinghamshire;17688;73361;parse Computers;2019-11-18T22:24:07
5;2019-11-19T05:10:42;synergies open-source;synthesize Concrete;53531;61894;access;2019-11-18T12:22:00
6;2019-11-19T02:36:03;Officer primary;Sleek Cotton Computer intermediate withdrawal;49933;84435;Rustic;2019-11-18T20:40:19
7;2019-11-19T05:20:13;FTP;alarm;47601;81068;Investment Account RSS;2019-11-18T22:58:20
8;2019-11-18T13:32:58;Direct Security bluetooth;Quality;80888;43760;Extended;2019-11-18T12:12:32
9;2019-11-18T10:03:44;Triple-buffered;Stream withdrawal withdrawal;89511;45012;Polarised Senior;2019-11-18T21:34:30
10;2019-11-18T19:56:53;Computer matrix Berkshire;Small Steel Computer synthesize deposit;80213;7125;Books;2019-11-18T09:26:02
