id;name;valid_from;valid_to
1;Cloned quantifying;2019-11-18T18:55:14;2019-11-18T19:18:26
2;Executive Synergistic;2019-11-18T22:41:40;2019-11-18T15:02:32
3;Licensed Metal Towels Namibia;2019-11-19T06:25:42;2019-11-19T02:57:44
4;indexing initiatives;2019-11-19T05:00:24;2019-11-18T09:41:36
5;overriding Bermudian Dollar (customarily known as Bermuda Dollar);2019-11-18T21:17:41;2019-11-18T11:42:08
6;Ports generate;2019-11-19T01:24:56;2019-11-19T06:53:43
7;Avon cross-platform Wall;2019-11-19T07:08:34;2019-11-18T13:20:03
8;Bedfordshire end-to-end GB;2019-11-18T19:18:49;2019-11-19T00:27:53
9;input Andorra yellow;2019-11-18T11:19:19;2019-11-18T16:33:32
10;Pizza Enterprise-wide Division;2019-11-18T18:56:44;2019-11-18T08:45:01
