id;transaction_occur_when;amount_excluding_tax;tax_amount;transaction_amount;outstanding_balance;finalization_date;is_finalized;last_edited_by;last_edited_when
1;2019-11-18T10:51:27;27690;16885;98352;50705;2019-11-19T05:00:46;true;Electronics;2019-11-18T23:39:40
2;2019-11-18T10:56:03;73263;65429;82037;15210;2019-11-19T00:52:26;false;Personal Loan Account Refined RAM;2019-11-18T13:06:12
3;2019-11-18T14:38:11;50520;31966;96712;98841;2019-11-18T22:21:49;false;Metal alarm challenge;2019-11-18T08:27:36
4;2019-11-18T11:13:25;97978;42748;65613;16223;2019-11-19T05:16:26;false;California Antarctica (the territory South of 60 deg S) transmitter;2019-11-18T11:01:26
5;2019-11-19T03:21:21;7940;37902;73149;97345;2019-11-19T03:53:31;false;secured line Global Handmade;2019-11-18T14:09:36
6;2019-11-19T00:50:43;98806;47116;90129;82163;2019-11-18T16:45:00;false;end-to-end;2019-11-18T20:31:44
7;2019-11-18T12:43:40;82824;87982;33520;52543;2019-11-19T04:13:10;false;Fresh Ergonomic program;2019-11-18T22:18:25
8;2019-11-19T04:58:57;90535;34794;73967;45035;2019-11-19T03:47:58;true;withdrawal Home Loan Account;2019-11-18T23:55:58
9;2019-11-18T14:40:35;84144;80619;47128;84373;2019-11-18T08:53:29;false;Music feed;2019-11-19T05:50:15
10;2019-11-19T00:35:14;31491;68632;381;6964;2019-11-18T16:01:47;false;SMTP;2019-11-19T02:56:15
