id;name;valid_from;valid_to
1;Technician Architect calculate;2019-11-19T05:16:03;2019-11-18T18:07:27
2;utilize Small Fresh Gloves target;2019-11-18T12:44:20;2019-11-18T13:54:00
3;UAE Dirham;2019-11-18T21:41:17;2019-11-19T04:34:30
4;Wells;2019-11-18T09:43:36;2019-11-18T22:09:41
5;Terrace;2019-11-19T04:27:46;2019-11-18T19:44:28
6;calculating conglomeration bypassing;2019-11-18T13:50:31;2019-11-18T16:03:28
7;deposit;2019-11-19T01:49:53;2019-11-18T11:33:23
8;Liaison Grocery capacitor;2019-11-18T10:33:41;2019-11-18T22:18:58
9;invoice unleash grid-enabled;2019-11-18T08:46:28;2019-11-19T00:54:10
10;success program;2019-11-18T14:29:23;2019-11-19T03:16:30
