id;carrier_tracking_number;quantity;unit_price;unit_price_discount;line_total;tax_rate;picked_quantity;picking_completed_when;status;last_edited_by;last_edited_when
1;Licensed Wooden Cheese Borders attitude-oriented;83548;68804;1469;24188;37909;91106;2019-11-19T00:17:37;BACK_ORDER;interface internet solution;2019-11-18T10:38:40
2;24/7 sensor;87764;96349;4165;51903;39764;67754;2019-11-18T14:05:40;AVAILABLE;override;2019-11-18T19:52:44
3;Facilitator;12555;57535;1694;7638;77015;38258;2019-11-18T13:01:06;AVAILABLE;encoding;2019-11-19T00:11:12
4;firewall Future-proofed withdrawal;57064;135;56809;29980;66300;64645;2019-11-18T19:13:44;BACK_ORDER;multi-byte virtual Falls;2019-11-18T22:50:16
5;superstructure;6569;71013;22823;93737;24660;60329;2019-11-18T20:46:19;BACK_ORDER;West Virginia;2019-11-18T08:37:30
6;Seamless Yemen payment;64459;96276;56129;7560;77692;36568;2019-11-19T03:28:13;OUT_OF_STOCK;Fresh Auto Loan Account;2019-11-18T13:38:18
7;Indiana;14696;98165;81112;52726;63595;90642;2019-11-18T23:04:26;AVAILABLE;cross-platform;2019-11-18T09:39:09
8;B2B sensor Togo;6062;70772;68999;6220;69009;14730;2019-11-18T10:03:20;BACK_ORDER;Canyon;2019-11-19T05:10:02
9;Paradigm Saint Martin;24189;35426;50060;94907;67962;96231;2019-11-19T06:33:36;OUT_OF_STOCK;Malta Table;2019-11-18T21:23:01
10;Florida;86396;44554;48133;20918;89767;4997;2019-11-18T16:12:20;OUT_OF_STOCK;Profound Research;2019-11-19T03:39:49
