id;name;valid_from;valid_to
1;deposit neural Lake;2019-11-18T17:15:51;2019-11-18T11:25:15
2;payment;2019-11-18T12:22:58;2019-11-18T22:07:39
3;relationships deposit;2019-11-18T09:55:10;2019-11-18T13:34:28
4;networks;2019-11-18T20:23:17;2019-11-19T01:22:22
5;e-markets Electronics matrices;2019-11-18T20:19:37;2019-11-18T22:36:24
6;Meadows;2019-11-19T07:42:37;2019-11-18T10:08:22
7;Gorgeous;2019-11-18T14:02:37;2019-11-18T15:16:44
8;Baby ROI;2019-11-18T10:12:48;2019-11-19T04:33:43
9;Hat;2019-11-19T06:41:53;2019-11-18T13:30:49
10;Branding;2019-11-18T14:28:03;2019-11-18T11:13:46
