id;name;short_label;thumbnail_url
1;Personal Loan Account;Supervisor;port Auto Loan Account
2;monitor Russian Ruble;magenta B2B Metal;neural-net
3;HDD Brand Home Loan Account;scalable;multi-byte
4;middleware transmit;Qatari Rial;primary Dobra Cambridgeshire
5;disintermediate deposit hardware;Books Intranet mint green;application Bike Pre-emptive
6;Unbranded Granite Bike Games;parse Bedfordshire Dynamic;calculate
7;Total;Ohio;Auto Loan Account connect
8;District;orchestrate Supervisor zero defect;National
9;Tennessee;Unions;system-worthy
10;yellow Branding azure;Bike Designer;Palladium olive
