id;order_date;expected_delivery_date;supplier_reference;is_order_finalized;comments;internal_comments;last_edited_by;last_edited_when
1;2019-11-18T20:11:02;2019-11-18;web-enabled workforce;34970;reboot invoice grey;partnerships;invoice bypass;2019-11-19T02:01:43
2;2019-11-18T22:12:24;2019-11-19;Sleek;96786;regional compress Personal Loan Account;Djibouti Franc Music;Money Market Account;2019-11-18T13:47:55
3;2019-11-19T06:43:39;2019-11-18;Kyrgyz Republic Unbranded Frozen Gloves back-end;29282;Executive Investment Account;Legacy Slovenia;deposit Steel;2019-11-19T00:16:17
4;2019-11-19T05:43:49;2019-11-18;Compatible seize;43207;niches Savings Account;content-based Research Czech Koruna;TCP invoice;2019-11-19T01:31:41
5;2019-11-18T16:16:30;2019-11-18;SCSI;84651;Global;invoice;Wall;2019-11-18T12:10:55
6;2019-11-18T14:26:00;2019-11-18;override deposit;17742;Saint Kitts and Nevis;user-facing Armenia panel;Metal;2019-11-18T14:57:59
7;2019-11-19T06:11:05;2019-11-18;tan Avon copying;73280;Saint Lucia Pennsylvania;Money Market Account Awesome;Burundi Franc;2019-11-18T11:25:49
8;2019-11-18T18:32:16;2019-11-18;index Keyboard Overpass;933;Reduced circuit Engineer;maroon;bluetooth orange Saint Barthelemy;2019-11-18T14:47:46
9;2019-11-18T12:49:37;2019-11-18;magenta dynamic;78379;Macedonia Sports;backing up calculating Electronics;Accounts cross-platform pricing structure;2019-11-19T04:48:59
10;2019-11-18T12:10:57;2019-11-19;XML Liaison;36830;Port application;plum Cotton withdrawal;Costa Rican Colon;2019-11-19T08:18:45
