id;product_rating;product_review;seller_rating;seller_review;delivery_rating;delivery_review;thumbnail_url;last_edited_by;last_edited_when
1;50391;../fake-data/blob/hipster.txt;37619;../fake-data/blob/hipster.txt;1351;../fake-data/blob/hipster.txt;back-end Auto Loan Account;visionary Latvia Leone;2019-11-19T01:55:26
2;31645;../fake-data/blob/hipster.txt;27752;../fake-data/blob/hipster.txt;34218;../fake-data/blob/hipster.txt;lime New Hampshire moderator;Clothing;2019-11-18T17:33:22
3;70775;../fake-data/blob/hipster.txt;50950;../fake-data/blob/hipster.txt;35999;../fake-data/blob/hipster.txt;Fantastic markets;olive Paradigm;2019-11-18T22:34:54
4;68259;../fake-data/blob/hipster.txt;46668;../fake-data/blob/hipster.txt;87148;../fake-data/blob/hipster.txt;Assimilated;interface Estonia Berkshire;2019-11-19T02:33:20
5;9439;../fake-data/blob/hipster.txt;74475;../fake-data/blob/hipster.txt;12570;../fake-data/blob/hipster.txt;channels;Turnpike multi-tasking Configurable;2019-11-18T16:54:18
6;67201;../fake-data/blob/hipster.txt;65097;../fake-data/blob/hipster.txt;63542;../fake-data/blob/hipster.txt;redundant bypassing AGP;Developer Money Market Account;2019-11-18T15:21:25
7;99933;../fake-data/blob/hipster.txt;735;../fake-data/blob/hipster.txt;17533;../fake-data/blob/hipster.txt;Books Towels;District Architect Uzbekistan;2019-11-18T21:23:37
8;91963;../fake-data/blob/hipster.txt;94501;../fake-data/blob/hipster.txt;31119;../fake-data/blob/hipster.txt;blue indexing Future;Plaza Fork;2019-11-18T18:25:09
9;80080;../fake-data/blob/hipster.txt;35677;../fake-data/blob/hipster.txt;63212;../fake-data/blob/hipster.txt;Borders;programming;2019-11-18T16:27:15
10;61545;../fake-data/blob/hipster.txt;33836;../fake-data/blob/hipster.txt;19269;../fake-data/blob/hipster.txt;Personal Loan Account Danish Krone Argentina;quantify parsing Associate;2019-11-18T11:02:04
