id;quantity;last_edited_by;last_edited_when
1;20471;Arizona deposit analyzer;2019-11-18T21:21:03
2;62584;Fantastic Fresh Keyboard;2019-11-18T20:06:14
3;88555;Toys GB;2019-11-18T18:40:13
4;19769;parallelism;2019-11-18T18:08:48
5;50775;Avon;2019-11-19T05:44:49
6;97011;Computers auxiliary;2019-11-18T13:28:40
7;36009;Rustic;2019-11-19T02:13:35
8;14562;Brunei Dollar;2019-11-18T16:57:47
9;19901;Representative Clothing deposit;2019-11-19T05:00:02
10;24344;bypassing lavender Generic Metal Chair;2019-11-18T22:43:47
