id;total_price;total_cargo_price;last_edited_by;last_edited_when
1;72753;30006;Soap;2019-11-19T01:33:29
2;66696;37597;program;2019-11-18T19:26:19
3;19499;7748;Kids;2019-11-19T05:56:04
4;63835;41049;Research invoice haptic;2019-11-18T21:11:51
5;47132;36166;Handmade RAM 1080p;2019-11-19T04:21:20
6;9524;51226;Berkshire;2019-11-18T17:23:18
7;99357;94618;North Dakota;2019-11-18T19:25:31
8;17339;5032;Sleek Concrete Chicken Electronics input;2019-11-18T15:01:50
9;99561;13605;indexing Sausages;2019-11-19T01:09:44
10;1585;24897;e-enable Business-focused Berkshire;2019-11-18T22:36:45
