id;deal_description;start_date;end_date;discount_amount;discount_percentage;discount_code;unit_price;last_edited_by;last_edited_when
1;Intelligent Rubber Chair;2019-11-19T01:29:12;2019-11-18T23:00:49;30677;19142;e-commerce Tactics;43054;AI Checking Account Seamless;2019-11-18T23:50:58
2;Practical;2019-11-19T00:23:13;2019-11-18T15:56:22;67754;33245;Intelligent Cotton Shirt;94444;invoice Leone deposit;2019-11-19T03:36:51
3;users quantify Tasty;2019-11-19T01:43:17;2019-11-19T00:35:02;27631;94127;Principal Movies;45011;Officer Tasty;2019-11-18T19:14:35
4;Administrator;2019-11-18T19:03:29;2019-11-18T14:40:51;18981;70455;channels sexy;39761;mission-critical;2019-11-19T03:27:43
5;Buckinghamshire modular;2019-11-19T01:29:27;2019-11-18T19:11:58;65675;68977;Rubber Checking Account Car;92552;Incredible Cotton Computer Nepalese Rupee Plaza;2019-11-19T06:10:46
6;Estonia deposit;2019-11-18T15:29:56;2019-11-18T09:13:47;37325;25089;Tenge feed;61000;interface dedicated;2019-11-18T18:02:45
7;CSS;2019-11-18T09:40:07;2019-11-19T05:34:49;10590;44908;Personal Loan Account;21308;Accountability Electronics quantify;2019-11-18T17:23:06
8;whiteboard Fantastic Rubber Chair incubate;2019-11-18T09:55:11;2019-11-19T02:18:56;54199;45025;Integration innovate generating;18854;Dominican Peso Technician Sleek;2019-11-19T08:11:25
9;e-services Unbranded bypass;2019-11-18T10:26:27;2019-11-18T13:01:03;43402;86131;navigating;51272;synergies Planner Polarised;2019-11-18T19:15:54
10;Nakfa Swedish Krona;2019-11-19T03:29:36;2019-11-19T06:11:47;65399;19927;HTTP circuit Books;24837;red analyzing;2019-11-19T02:26:54
