id;code;name;sales_territory;border;latest_recorded_population;valid_from;valid_to
1;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;Dynamic Home Loan Account;24435;2019-11-18T23:50:36;2019-11-18T20:25:54
2;methodology Integration Music;Pants;Avon;blue scalable Car;89676;2019-11-18T12:10:27;2019-11-19T06:27:50
3;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;82086;2019-11-18T10:05:05;2019-11-18T15:08:48
4;Mexico Gardens;override silver orchestration;tan program;Metal Auto Loan Account;28863;2019-11-19T06:17:40;2019-11-18T18:26:24
5;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;8786;2019-11-19T02:16:42;2019-11-19T05:03:28
6;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;6649;2019-11-18T10:09:18;2019-11-18T14:36:10
7;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;31619;2019-11-18T11:20:13;2019-11-18T18:16:13
8;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;90647;2019-11-19T02:53:35;2019-11-18T17:24:29
9;Cotton Tactics;array Belize Dollar;optical;Borders reboot;57315;2019-11-18T13:27:48;2019-11-18T08:26:43
10;copy;Robust hack Electronics;application Cambridgeshire;scalable connecting Fantastic;84645;2019-11-18T21:25:18;2019-11-19T05:19:47
