id;quantity_on_hand;bin_location;last_stocktake_quantity;last_cost_price;reorder_level;targer_stock_level
1;50368;bypassing Cambridgeshire Investment Account;47774;77523;47815;34259
2;76796;Savings Account deposit;45028;93806;53110;91764
3;74571;quantifying Trinidad and Tobago Dollar Senior;82032;33478;56186;31370
4;67140;Identity Savings Account;82480;59646;68881;81438
5;55193;Customer-focused channels;96774;23748;65776;29989
6;56439;Communications Ohio;52608;36250;75931;82399
7;71266;turquoise;47130;80093;47251;18015
8;37822;Cambridgeshire;41310;34292;19934;68387
9;41236;Handcrafted Rubber Gloves;85365;5574;72528;60981
10;36039;Fantastic;20214;8058;54549;14716
