id;transaction_occured_when;quantity;last_edited_by;last_edited_when
1;2019-11-18T20:57:13;24696;GB Table XML;2019-11-19T08:04:21
2;2019-11-19T03:17:43;51178;program;2019-11-18T09:57:19
3;2019-11-18T20:19:51;90920;synthesizing;2019-11-18T11:04:25
4;2019-11-18T08:51:04;19921;hybrid system-worthy;2019-11-18T23:20:27
5;2019-11-18T09:31:48;39332;Jersey Soap Seychelles Rupee;2019-11-19T04:22:06
6;2019-11-19T03:43:39;31030;Buckinghamshire bluetooth;2019-11-18T14:38:35
7;2019-11-18T22:31:16;64553;Computer Iceland;2019-11-19T06:17:29
8;2019-11-18T13:21:18;37736;channels;2019-11-19T07:26:04
9;2019-11-18T09:34:14;27398;Functionality;2019-11-18T09:30:11
10;2019-11-18T09:07:10;35232;Handcrafted Wooden Pizza transform Assurance;2019-11-19T05:00:05
