id;name;vendor_code;vendor_sku;generated_sku;barcode;unit_price;recommended_retail_price;quantity_on_hand;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;no_of_pieces;no_of_items;manufacture;marketing_comments;internal_comments;sell_start_date;sell_end_date;sell_count;custom_fields;thumbnail_url;active_ind;last_edited_by;last_edited_when
1;plum collaboration;Savings Account;metrics International Buckinghamshire;Arkansas;Belarussian Ruble deploy;82183;45077;65951;95849;79624;43108;27194;54934;69235;53325;26406;63676;93906;deposit interface solution-oriented;Ridge;olive;2019-11-18T18:06:10;2019-11-18T12:37:11;26463;invoice;synthesizing Skyway Officer;true;synthesize;2019-11-18T14:26:31
2;Table red;demand-driven Grocery;AGP connecting deposit;Manat hardware Dynamic;Bedfordshire circuit methodologies;66677;82541;9432;84487;74800;24900;81271;57670;70683;6725;96726;9491;82665;National Mobility neural;TCP Architect Organized;groupware;2019-11-19T00:45:20;2019-11-19T05:16:05;96115;National;redundant Alabama architecture;true;Advanced;2019-11-19T08:02:41
3;reboot;application alliance;connecting;Toys Web;AI Maryland;58095;6932;99067;63832;75673;73300;44229;67612;70739;13843;38923;57884;22887;Auto Loan Account Markets;harness Home Loan Account deposit;Architect Analyst;2019-11-18T16:48:07;2019-11-18T11:43:30;80441;capacitor Home Loan Account;Division;true;cross-platform PCI Tasty;2019-11-18T10:11:21
4;payment;Pakistan Rupee;Technician Gorgeous Rubber Keyboard calculate;Investment Account Mouse protocol;North Dakota Street;94874;16972;6060;1914;68539;77910;2496;60969;17143;69963;45357;83815;45487;Codes specifically reserved for testing purposes Global withdrawal;transition Soap Tennessee;invoice;2019-11-19T06:30:16;2019-11-18T18:23:37;74056;Fantastic Checking Account;Movies communities Unbranded;true;AGP SMS;2019-11-18T16:34:23
5;tan JBOD;Czech Koruna scale virtual;back-end Manager Electronics;Nuevo Sol Personal Loan Account Investment Account;synthesizing Rustic Plastic Pants Practical Frozen Shirt;81697;66930;85254;89189;93796;30605;8510;55187;38559;78940;7103;41621;21079;Multi-layered;Gorgeous Frozen Computer Rustic;Granite Strategist;2019-11-18T14:10:02;2019-11-19T04:24:20;96776;synergies;Bacon;false;withdrawal;2019-11-19T03:07:01
6;Music;Horizontal virtual Quetzal;Manager;solid state;navigate;7647;86465;98672;15492;27136;8273;9858;48453;82931;30241;70667;56340;61721;Keyboard Pass haptic;Plastic;Home Shoes;2019-11-18T11:22:50;2019-11-19T06:24:55;44174;Specialist revolutionize;Gorgeous Cotton Pants Expressway array;true;Zambian Kwacha calculate;2019-11-18T11:41:50
7;alliance;Fresh Wyoming;Chief implement sky blue;Run withdrawal;Buckinghamshire quantifying;36140;11701;85979;79971;40680;12323;32823;69853;45398;41614;76244;51385;12600;cyan Creative Hat;hard drive Berkshire;withdrawal Virtual Ukraine;2019-11-18T23:27:28;2019-11-18T14:35:30;66166;Wooden;CSS Ball;true;Bedfordshire;2019-11-18T22:37:58
8;Product Personal Loan Account Wisconsin;Maine Soft;Secured Identity;Incredible Oregon generating;e-business Technician Electronics;25264;21820;52007;87407;52195;24966;58893;26324;75167;65;62347;87066;60028;Generic Cotton Cheese Decentralized high-level;mission-critical Gorgeous;Up-sized Program;2019-11-18T09:43:06;2019-11-19T01:23:42;60994;Future;Customer Avenue Springs;true;Soap Buckinghamshire convergence;2019-11-18T18:03:51
9;Representative navigate repurpose;Drive Kwanza override;world-class;Polarised European Unit of Account 9(E.U.A.-9);Buckinghamshire Avon;5024;62632;3491;27847;55115;85298;43817;92838;83918;99639;16067;79600;2497;Field Fundamental Practical Metal Cheese;Investor;upward-trending;2019-11-19T04:13:34;2019-11-18T15:41:42;37975;digital streamline;Connecticut invoice white;true;COM programming Markets;2019-11-18T23:36:32
10;access;navigating Belize copy;action-items;Garden;multi-tasking Unbranded Metal Ball Home Loan Account;65338;67849;19230;31754;29565;84810;61961;94716;59962;88485;50633;73906;35041;Product;Architect Baby;Pitcairn Islands extensible methodologies;2019-11-18T13:19:21;2019-11-19T00:54:18;27812;Steel hierarchy;asymmetric rich connecting;true;lavender brand Implementation;2019-11-19T06:54:24
