id;name;valid_from;valid_to
1;Outdoors;2019-11-18T16:44:59;2019-11-18T15:13:54
2;Utah Mall;2019-11-18T19:21:08;2019-11-18T09:09:12
3;teal;2019-11-18T11:32:34;2019-11-19T06:12:06
4;Cheese Summit Saint Martin;2019-11-19T07:57:39;2019-11-18T17:21:38
5;Plastic Automotive Principal;2019-11-18T17:35:25;2019-11-19T03:56:19
6;Manors Music Savings Account;2019-11-18T17:48:52;2019-11-18T15:56:10
7;architectures;2019-11-19T03:34:37;2019-11-19T02:58:36
8;Car payment;2019-11-19T00:34:03;2019-11-19T01:56:02
9;redundant website;2019-11-18T21:27:52;2019-11-19T04:47:59
10;Circles;2019-11-18T16:03:32;2019-11-18T22:58:12
