id;document_url;document_type;last_edited_by;last_edited_when
1;sticky;FAILED;drive Legacy transmit;2019-11-18T20:16:04
2;Agent;FAILED;partnerships Fish;2019-11-18T09:38:57
3;transmit human-resource;COMPLETED;XML;2019-11-18T20:01:34
4;calculate;FAILED;Fresh Pitcairn Islands non-volatile;2019-11-19T07:53:08
5;alarm;COMPLETED;Zimbabwe;2019-11-18T09:08:21
6;Berkshire Gorgeous Rubber Soap;COMPLETED;green Credit Card Account;2019-11-18T22:39:12
7;Handcrafted Plastic Chips;COMPLETED;Usability human-resource wireless;2019-11-19T07:03:43
8;Guernsey Gorgeous Frozen Sausages input;COMPLETED;Designer alarm Legacy;2019-11-18T19:58:46
9;Granite Saint Helena;COMPLETED;Berkshire Investment Account;2019-11-19T08:08:58
10;yellow Bedfordshire Optimization;COMPLETED;Checking Account;2019-11-19T01:12:59
