id;name;valid_from;valid_to
1;Tools Street;2019-11-18T18:50:01;2019-11-18T18:17:27
2;reciprocal;2019-11-18T15:15:08;2019-11-18T21:30:39
3;Malaysia supply-chains;2019-11-18T22:46:17;2019-11-18T20:27:41
4;hack Intelligent;2019-11-19T00:21:54;2019-11-18T11:42:25
5;Mobility;2019-11-18T23:25:49;2019-11-19T01:51:16
6;Dynamic;2019-11-18T19:45:07;2019-11-18T22:34:48
7;Industrial Pizza bus;2019-11-18T16:34:32;2019-11-18T22:35:53
8;Cyprus;2019-11-19T02:17:47;2019-11-19T02:50:38
9;Moldovan Leu;2019-11-19T07:54:59;2019-11-18T18:06:31
10;impactful;2019-11-18T18:43:23;2019-11-19T04:06:16
