id;vehicle_registration;chiller_sensor_number;recorded_when;temperature;is_compressed;full_sensor_data;compressed_sensor_data
1;1592;Home Loan Account;96082;35606;true;Egyptian Pound Generic contextually-based;application
2;87367;Cotton ADP Checking Account;12711;28913;false;Computer Tenge;RAM Montana Licensed
3;19167;Mission collaborative back-end;52926;39419;true;online web-enabled online;backing up connecting
4;40351;task-force Buckinghamshire;57277;91777;false;multi-byte Borders efficient;Manager
5;77316;Incredible digital Shoes;44735;30708;false;Lempira;Finland Belgium B2C
6;44730;Director morph Digitized;24346;49751;false;input;Handmade
7;66403;Inverse;48927;77586;false;hard drive Implementation;quantify Practical Fresh Bacon magenta
8;87439;transparent;72268;42888;false;Product;client-server
9;51920;Cloned Concrete;12369;94376;true;interface system engine Beauty;uniform
10;70239;withdrawal Supervisor;26504;72863;true;Intelligent Wooden Computer Tools;synthesizing PNG Home Loan Account
